url,team,name,dob,pob,site
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/511369.html,Target Chip Ganassi Racing,Biography of Scott Dixon,"Jul 22, 1980","Auckland, New Zealand",ScottDixon.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/511411.html,Team Penske,Biography of Helio Castroneves,"May 10, 1975","Sao Paulo, Brazil",HelioCastroneves.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/511418.html,Rahal Letterman Lanigan Racing,Biography of Michel Jourdain Jr.,"Sep 2, 1976","Mexico City, Mexico",
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/511527.html,Schmidt Hamilton HP Motorsports,Biography of Simon Pagenaud,"May 18, 1984","Montmorillon, France",Simon-Pagenaud.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/511712.html,Andretti Autosport,Biography of Ryan Hunter-Reay,"Dec 17, 1980","Fort Lauderdale, FL",RyanRacing.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/511726.html,Andretti Autosport,Biography of Carlos Munoz,"Jan 2, 1992","Bogota, Colombia",CarlosMunozRacing.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/511772.html,KV Racing Technology,Biography of Simona De Silvestro,"Sep 1, 1988","Mont-sur-Rolle, Switzerland",SimonaDeSilvestro.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/511778.html,Rahal Letterman Lanigan Racing,Biography of James Jakes,"Aug 4, 1987","Leeds, England",JamesJakes.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585206.html,Rahal Letterman Lanigan Racing,Biography of Graham Rahal,"Jan 4, 1989","New Albany, OH",GrahamRahal.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585209.html,Dragon Racing,Biography of Sebastien Bourdais,"Feb 28, 1979","Le Mans, France",Sebastien-Bourdais.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585211.html,Sarah Fisher Hartman Racing,Biography of Lucas Luhr,"Jul 22, 1979","Koblenz, Germany",Lucas-Luhr.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585214.html,Panther Racing,Biography of Townsend Bell,"Apr 19, 1975","San Luis Obispo, CA",www.townsendbell.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585217.html,Dale Coyne Racing,Biography of Ana Beatriz,"Mar 18, 1985","Sao Paulo, Brazil",BiaRacing.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585220.html,"Lazier Partners Racing, Inc.",Biography of Buddy Lazier,"Oct 31, 1967","Vail, CO",
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585224.html,Novo Nordisk Chip Ganassi Racing,Biography of Charlie Kimball,"Feb 20, 1985","Camarillo, CA",CharlieKimball.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585227.html,Team Penske,Biography of Will Power,"Mar 1, 1981","Toowoomba, Australia",WillPower12.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585231.html,Ed Carpenter Racing,Biography of Ed Carpenter,"Mar 3, 1981",Indianapolis,EdCarpenterRacing.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585237.html,Schmidt Peterson Motorsports,Biography of Katherine Legge,"Jul 12, 1980","Guildford, England",KatherineLegge.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585241.html,Dale Coyne Racing,Biography of Justin Wilson,"Jul 31, 1978","Sheffield, England",JustinWilson.co.uk
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585245.html,Target Chip Ganassi Racing,Biography of Dario Franchitti,"May 19, 1973","Edinburgh, Scotland",Franchitti.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585249.html,A.J. Foyt Enterprises,Biography of Takuma Sato,"Jan 28, 1977","Tokyo, Japan",TakumaSato.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585253.html,Andretti Autosport,Biography of James Hinchcliffe,"Dec 5, 1986","Toronto, Ontario",Hinchtown.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585257.html,Schmidt Peterson Motorsports,Biography of Tristan Vautier,"Aug 22, 1989","Corenc, France",TristanVautier.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585265.html,A.J. Foyt Enterprises,Biography of Conor Daly,"Dec 15, 1991","Noblesville, IN",ConorDaly.net
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585269.html,Dale Coyne Racing,Biography of James Davison,"Aug 28, 1986","Melbourne, Australia",JamesDavisonRacing.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585276.html,Andretti Autosport,Biography of E.J. Viso,"Mar 19, 1985","Caracas, Venezuela",EJViso.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585280.html,Team Penske,Biography of AJ Allmendinger,"Dec 16, 1981","Los Gatos, Calif.",AJAllmendinger.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585284.html,Panther Racing,Biography of Ryan Briscoe,"Sep 24, 1981","Sydney, Australia",RyanBriscoe.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585287.html,Dragon Racing,Biography of Sebastian Saavedra,"Jun 2, 1990","Bogota, Colombia",sebastiansaavedra.co
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585293.html,Panther Racing,Biography of Oriol Servia,"Jul 13, 1974","Pals, Spain",OriolServia.homestead.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585295.html,Dale Coyne Racing,Biography of Mike Conway,"Aug 19, 1983","Bromley, Kent, England",MikeConway.co.uk
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585298.html,Barracuda Racing,Biography of Luca Filippi,"Aug 9, 1985","Savigliano, Italy",LucaFilippi.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585301.html,Sarah Fisher Hartman Racing,Biography of Josef Newgarden,"Dec 22, 1990","Hendersonville, TN",JosefNewgarden.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585304.html,Dale Coyne Racing,Biography of Pippa Mann,"Aug 11, 1983","Ipswich, England",PippaMann.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585308.html,Target Chip Ganassi Racing,Biography of Alex Tagliani,"Oct 18, 1973","Lachenaie, Quebec",Tagliani.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585310.html,Andretti Autosport,Biography of Marco Andretti,"Mar 13, 1987","Nazareth, PA",MarcoAndretti.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585321.html,KV Racing Technology,Biography of Tony Kanaan,"Dec 31, 1974","Salvador, Brazil",TonyKanaan.com.br
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585325.html,Barracuda Racing,Biography of JR Hildebrand,"Jan 3, 1988","Sausalito, CA",JRHildebrandRacing.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/indycar/585330.html,Dale Coyne Racing,Biography of Stefan Wilson,"Sep 20, 1989","Sheffield, England",StefanWilson.com
