url,name,pob,dob,height,weight
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1177602.html,Lewis Hamilton,Great Britain,January 07 1985,1.75 m,66 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1177693.html,Max Verstappen,Netherlands,September 30 1997,1.80 m,67 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1177782.html,Felipe Nasr,Brazil,August 21 1992,1.74 m,71 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1177854.html,Jenson Button,Great Britain,January 19 1980,1.82 m,72 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1177922.html,Fernando Alonso,Spain,July 29 1981,1.71 m,68 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1177975.html,Kevin Magnussen,Denmark,October 05 1992,1.74 m,68 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178039.html,Daniel Ricciardo,Australia,July 01 1989,1.75 m,64 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178051.html,Nico Rosberg,Germany,June 27 1985,1.78 m,67 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178131.html,Romain Grosjean,France,April 17 1986,1.80 m,71 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178273.html,Sebastian Vettel,Germany,July 03 1987,1.76 m,62 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178276.html,Marcus Ericsson,Sweden,September 02 1990,1.74 m,64 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178293.html,Daniil Kvyat,Russia,April 26 1994,1.75 m,58 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178460.html,Felipe Massa,Brazil,April 25 1981,1.66 m,59 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178604.html,Pedro de la Rosa,Spain,February 24 1971,1.78 m,74 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178606.html,Charles Pic,France,February 15 1990,1.78 m,60 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178607.html,Jean-Éric Vergne,France,April 25 1990,1.82 m,69 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178608.html,Narain Karthikeyan,India,January 14 1977,1.68 m,64 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178609.html,Esteban Gutiérrez,Mexico,August 05 1991,1.80 m,61 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178612.html,Mark Webber,Australia,August 27 1976,1.84 m,74 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178615.html,Michael Schumacher,Germany,January 03 1969,1.74 m,74 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178616.html,Bruno Senna,Brazil,October 15 1983,1.80 m,69 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178617.html,Alexander Rossi,United States,September 25 1991,1.87 m,72 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178618.html,Giedo van der Garde,Netherlands,April 25 1985,1.82 m,73 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178620.html,Heikki Kovalainen,Finland,October 19 1981,1.72 m,66 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178621.html,Pastor Maldonado,Venezuela,March 09 1985,1.73 m,63 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178622.html,Jules Bianchi,France,August 03 1989,1.74 m,65 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178624.html,Sébastien Buemi,Switzerland,October 31 1988,1.72 m,55 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178625.html,Maria De Villota,Spain,January 13 1980,1.62 m,54 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178629.html,Timo Glock,Germany,March 18 1982,1.69 m,64 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178632.html,Kamui Kobayashi,Japan,September 13 1986,1.70 m,63 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178637.html,Paul Di Resta,Scotland,April 16 1986,1.85 m,74 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178638.html,Kimi Räikkönen,Finland,October 17 1979,1.75 m,62 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178640.html,Nico Hülkenberg,Germany,August 19 1987,1.84 m,74 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178641.html,Dani Clos,Spain,October 23 1988,1.75 m,68 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178642.html,Vitaly Petrov,Russia,September 08 1984,1.85 m,72 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178643.html,Valtteri Bottas,Finland,August 28 1989,1.73 m,70 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178644.html,Jérôme d'Ambrosio,Belgium,December 27 1985,1.72 m,62 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178645.html,Vitantonio Liuzzi,Italy,August 06 1981,1.69 m,68 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178647.html,Sergio Pérez,Mexico,December 26 1989,1.73 m,63 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178651.html,Luiz Razia,Brazil,January 04 1989,1.80 m,73 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178653.html,Rubens Barrichello,Brazil,May 23 1972,1.72 m,67 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178680.html,Rio Haryanto,Indonesia,January 22 1993,1.70 m,58 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178691.html,Roberto Merhi,Spain,March 22 1991,1.79 m,76 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178747.html,Jaime Alguersuari,Spain,March 23 1990,1.81 m,65 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178751.html,Davide Valsecchi,Italy,January 24 1987,1.73 m,70 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178752.html,Max Chilton,Great Britain,April 21 1991,1.81 m,64 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178759.html,Will Stevens,Great Britain,June 28 1991,1.73 m,64 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178775.html,Jarno Trulli,Italy,July 13 1974,1.73 m,60 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178823.html,Pascal Wehrlein,Germany,October 18 1994,1.75 m,61 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178824.html,Esteban Ocon,France,September 17 1996,1.86 m,66 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178827.html,Christian Klien,Austria,February 07 1983,1.69 m,68 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178828.html,Nick Heidfeld,Germany,May 19 1977,1.64 m,59 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178835.html,Robert Kubica,Poland,December 07 1984,1.84 m,73 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178857.html,Andre Lotterer,Germany,November 19 1981,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178881.html,Carlos Sainz Jr,Spain,September 01 1994,1.77 m,66 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178895.html,Sakon Yamamoto,Japan,July 09 1982,1.72 m,62 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178906.html,Jolyon Palmer,Great Britain,January 20 1991,1.79 m,78 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178939.html,Karun Chandhok,India,January 19 1984,1.73 m,67 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178958.html,Lucas Di Grassi,Brazil,August 11 1984,1.79 m,73 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1178993.html,Adrian Sutil,Germany,January 11 1983,1.83 m,75 kg
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1179036.html,Stoffel Vandoorne,Belgium,March 26 1992,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/euro_sports/1179096.html,Adrian Valles,Spain,,,
